ticket_id,employee_id,payroll_id,ticket_reason,ticket_description,ticket_status,created_date
T000001,E0151,P001802,Incorrect hours worked,Full get build side military growth floor increase popular event ten assume choose firm commercial cover impact our.,Resolved,2025-07-31
T000002,E0100,P001191,PTO deduction issue,Fire not act central partner court especially yard word ago small amount.,Open,2025-08-15
T000003,E0152,P001818,Tax withholding question,Although box center focus art theory entire force crime investment represent watch industry think pressure over city international large.,Open,2025-09-30
T000004,E0021,P000252,Incorrect hours worked,Perform policy indicate responsibility check call inside off up money share represent along mother effort low season rise answer.,Open,2025-12-31
T000005,E0209,P002506,Tax withholding question,No audience offer group recognize evening up thought future.,Resolved,2025-11-30
T000006,E0094,P001118,Missing overtime pay,Beautiful figure enter price fund reach force significant machine list collection entire wind yeah admit nature source.,Open,2025-07-31
T000007,E0118,P001412,Missing bonus,Who treatment far huge ago example bring clear watch determine meeting ahead pretty yet well finally improve.,Open,2025-10-31
T000008,E0177,P002114,Missing bonus,System if scientist pressure election soon blue child really reflect night employee laugh.,Resolved,2025-07-31
T000009,E0035,P000409,Incorrect hours worked,Decision bag go seven anything nor state sea step.,Open,2025-07-15
T000010,E0215,P002580,Incorrect hours worked,Central traditional recognize evidence maybe upon structure until matter economic.,Open,2025-12-31
T000011,E0188,P002255,Benefits deduction question,Process idea prepare least sell record teach reveal career other prove front work than police accept.,In Review,2025-12-15
T000012,E0005,P000053,Missing bonus,Partner service out although take three against best training bank.,In Review,2025-09-15
T000013,E0054,P000645,Paycheck lower than expected,All how out beyond media family step section far development.,Open,2025-11-15
T000014,E0147,P001764,Benefits deduction question,Congress option degree participant off traditional audience simple evening guess speak somebody light yeah role deal attorney.,Resolved,2025-12-31
T000015,E0232,P002777,Missing overtime pay,Memory draw half rich American mind never bag college improve thank like mission unit over court.,Resolved,2025-09-15
T000016,E0076,P000901,Paycheck lower than expected,In rich consider suffer support if how result executive head coach minute kind sign let.,Resolved,2025-07-15
T000017,E0090,P001074,Missing bonus,Usually rise trade agency past when put able make vote enter team dream trade Democrat technology behind research.,Resolved,2025-09-30
T000018,E0040,P000473,Paycheck lower than expected,Meeting use structure almost focus always authority bill trouble color partner particular beat crime machine.,Resolved,2025-09-15
T000019,E0229,P002739,PTO deduction issue,Respond project senior stock rock until rule rest enter task.,Open,2025-08-15
T000020,E0213,P002547,Direct deposit issue,Long cultural image you that really if little issue behind matter.,Resolved,2025-08-15
T000021,E0004,P000045,Direct deposit issue,Room though than job remain television town federal allow analysis car majority student author fly fight final radio six.,Resolved,2025-11-15
T000022,E0025,P000290,Missing bonus,Offer lead stage lay simple college quality by.,Resolved,2025-07-31
T000023,E0077,P000913,PTO deduction issue,Institution arrive discussion black many picture full painting skill enough affect ahead produce.,Resolved,2025-07-15
T000024,E0174,P002084,PTO deduction issue,Audience despite do wrong anyone especially carry yourself price stand financial since energy election strategy nice message win.,Open,2025-10-31
T000025,E0114,P001361,Tax withholding question,Collection agent something act seem economic Mr identify police subject back mind peace identify national everybody.,Resolved,2025-09-15
T000026,E0242,P002896,Missing bonus,Show have tell visit into peace figure too involve decision fine share mission whose kind stock officer site decide.,Resolved,2025-08-31
T000027,E0217,P002604,Paycheck lower than expected,Usually beat fast loss project poor baby light show project place until decision push five.,Resolved,2025-12-31
T000028,E0103,P001227,Benefits deduction question,Act community reveal ahead buy future try scene officer score his set two treatment too sure positive.,Open,2025-08-15
T000029,E0025,P000297,Benefits deduction question,Network support these candidate produce top material pay girl well after program forward majority three either yard.,Resolved,2025-11-15
T000030,E0104,P001242,Tax withholding question,Toward growth city can often strategy part set final training agreement investment moment.,In Review,2025-09-30
T000031,E0084,P001006,PTO deduction issue,Body lay model send sport total whom red sea capital fight force be.,Open,2025-11-30
T000032,E0139,P001666,Incorrect hours worked,Where then mean mouth fill conference their begin product reduce month.,Resolved,2025-11-30
T000033,E0063,P000747,Incorrect hours worked,Close first others very style safe experience ground toward beautiful soldier something quality impact simple contain doctor capital.,Open,2025-08-15
T000034,E0238,P002852,Incorrect hours worked,Perhaps painting person energy able mouth deep either pick most reason cell population evidence use.,Open,2025-10-31
T000035,E0025,P000292,Tax withholding question,Alone year this low whose say painting difference peace thing world.,Resolved,2025-08-31
T000036,E0066,P000782,Direct deposit issue,Spend would day PM past itself car statement.,Resolved,2025-07-31
T000037,E0179,P002145,Paycheck lower than expected,Think model a show time environmental lose once western child system though rule increase write increase.,Resolved,2025-11-15
T000038,E0027,P000323,Tax withholding question,Point item understand former send loss attack arm myself guess production happen your anything action someone sometimes.,Resolved,2025-12-15
T000039,E0025,P000299,Direct deposit issue,Radio arrive investment other strong enough notice west car mouth bag part.,Resolved,2025-12-15
T000040,E0109,P001299,Direct deposit issue,Tonight put community capital environmental catch use meet hit expect notice.,In Review,2025-08-15
T000041,E0017,P000195,PTO deduction issue,Similar walk from control fight maybe personal attorney step individual rich significant behavior share though toward catch finish.,Open,2025-08-15
T000042,E0006,P000064,Missing overtime pay,Political ever piece consumer law use authority worry southern away everyone.,Open,2025-08-31
T000043,E0033,P000394,Tax withholding question,Everything risk dinner point card before really like reality cold appear from her discussion.,Open,2025-11-30
T000044,E0061,P000728,PTO deduction issue,Couple nearly very skill good shoulder stand live none pull by appear from gun five.,Open,2025-10-31
T000045,E0132,P001584,PTO deduction issue,Reason provide center spend significant indicate later sell experience but choice heart politics audience inside summer although.,Resolved,2025-12-31
T000046,E0129,P001548,Incorrect hours worked,Father so piece until financial evening easy care offer every quality resource describe reveal everything official step media.,Resolved,2025-12-31
T000047,E0203,P002426,Missing overtime pay,Good worker certainly national stand author of front too manage age thousand last treat case various glass.,Resolved,2025-07-31
T000048,E0002,P000015,Direct deposit issue,Involve effect challenge decision few heavy toward often exactly too type president executive.,Open,2025-08-15
T000049,E0214,P002568,Paycheck lower than expected,Case pull land subject most western marriage into.,Resolved,2025-12-31
T000050,E0134,P001601,Paycheck lower than expected,College gas than another attorney deal land rich sound big.,Resolved,2025-09-15
T000051,E0091,P001091,Direct deposit issue,Back mother police education natural dinner artist degree black include worker oil get guess officer.,In Review,2025-12-15
T000052,E0176,P002112,PTO deduction issue,Entire similar issue give make significant agency station able study system improve tax control administration scene national citizen today.,Open,2025-12-31
T000053,E0017,P000204,Missing overtime pay,Push ready important think defense agreement light foreign me employee true hotel everything short staff research.,Resolved,2025-12-31
T000054,E0202,P002419,PTO deduction issue,Apply likely necessary long when be best discover appear behavior direction my sport more magazine group focus great.,Open,2025-10-15
T000055,E0013,P000153,Incorrect hours worked,Do dinner finish animal soon military receive prove federal citizen rule run a standard nature series.,In Review,2025-11-15
T000056,E0242,P002902,Paycheck lower than expected,Mission pay stop nature direction drug choice artist source expert design.,Open,2025-11-30
T000057,E0114,P001360,Missing bonus,Central bill above perhaps natural current different real defense role really your.,Resolved,2025-08-31
T000058,E0065,P000773,Benefits deduction question,Process positive security old our southern among performance prevent tell job keep become always.,Resolved,2025-09-15
T000059,E0224,P002679,Incorrect hours worked,Process son fact again day send shoulder final herself if line small visit all.,Resolved,2025-08-15
T000060,E0084,P001002,Missing bonus,Them get international spend month table environment hot church tough response human plant accept.,In Review,2025-09-30
T000061,E0060,P000719,Incorrect hours worked,Republican wear worker significant can happy dog hold could manager region especially shake.,Resolved,2025-12-15
T000062,E0052,P000613,PTO deduction issue,Less way item better give service rock city this story air teach state medical push generation drug shoulder section.,Open,2025-07-15
T000063,E0071,P000843,Missing bonus,Old forward those help general determine position radio either authority reason.,Resolved,2025-08-15
T000064,E0023,P000267,Incorrect hours worked,Blood record listen weight song wife research value in identify us.,Open,2025-08-15
T000065,E0005,P000052,Missing bonus,Now tree guess authority avoid before remember environment represent trial you will drop debate book page quality.,In Review,2025-08-31
T000066,E0100,P001196,Paycheck lower than expected,Mind discuss few road still effect organization challenge stock.,Resolved,2025-10-31
T000067,E0106,P001271,Paycheck lower than expected,Candidate buy standard across enter later political year prevent trouble including civil attack explain professor set admit.,In Review,2025-12-15
T000068,E0125,P001492,Paycheck lower than expected,These pass out court politics less personal college recently politics easy political human reality population create month bring.,Resolved,2025-08-31
T000069,E0132,P001583,PTO deduction issue,Let career really close before world business commercial traditional on hand sense remain Mrs including degree method garden.,In Review,2025-12-15
T000070,E0044,P000522,Paycheck lower than expected,Range way much local center pull parent will for despite.,Open,2025-09-30
T000071,E0142,P001695,Tax withholding question,Know send event environmental hot after respond believe seven help.,Resolved,2025-08-15
T000072,E0222,P002664,Paycheck lower than expected,Feeling loss answer everything game something focus just effort husband from hour which kitchen.,Open,2025-12-31
T000073,E0230,P002749,Missing bonus,Particular Mr quickly less close figure we data very.,In Review,2025-07-15
T000074,E0161,P001922,Paycheck lower than expected,Doctor describe memory special as agree buy see design.,Resolved,2025-07-31
T000075,E0009,P000103,Missing bonus,They choice parent in site television story dinner relate letter key event ground follow surface eight.,Resolved,2025-10-15
T000076,E0058,P000696,Missing bonus,Deal local fear month fund establish process maintain way boy authority what indicate through main truth market nor.,Open,2025-12-31
T000077,E0195,P002333,Incorrect hours worked,Professor require as get oil voice each investment you billion information newspaper fund accept eight be catch similar ask.,Resolved,2025-09-15
T000078,E0228,P002725,Missing overtime pay,Imagine government painting spring number economy air thing standard between tell bank we method detail other as assume.,In Review,2025-07-15
T000079,E0190,P002273,Incorrect hours worked,Address method face rise skin move western area.,Open,2025-09-15
T000080,E0207,P002483,PTO deduction issue,Expert play short decide appear back student marriage surface final some oil tell financial for new describe.,In Review,2025-12-15
T000081,E0154,P001843,Missing overtime pay,Discuss charge figure moment support strategy break wind call tonight force on need especially fill hot Democrat world.,Open,2025-10-15
T000082,E0153,P001831,Paycheck lower than expected,Family officer I short measure lot dream sit work.,Resolved,2025-10-15
T000083,E0067,P000795,Missing overtime pay,Off TV recently PM remember nice water ask small.,Open,2025-08-15
T000084,E0152,P001821,Direct deposit issue,Improve sing anything team car early common against practice father effort visit house measure age.,Open,2025-11-15
T000085,E0167,P002002,PTO deduction issue,Floor price building wide small political agreement wrong general star despite explain medical eye onto light necessary place.,In Review,2025-11-30
T000086,E0013,P000145,Paycheck lower than expected,True from accept fly suffer share pay customer crime chance them beautiful drug perform return official.,In Review,2025-07-15
T000087,E0211,P002526,Tax withholding question,Try thus just continue sit already customer large soon large movie deal speak.,Open,2025-09-30
T000088,E0111,P001331,Benefits deduction question,Scientist south write dream why your finish school mouth civil TV laugh case analysis.,Open,2025-12-15
T000089,E0207,P002478,Paycheck lower than expected,Similar international open lawyer my natural director trial single clearly stand first finally important.,Resolved,2025-09-30
T000090,E0241,P002882,Missing overtime pay,Scene anyone better others example owner call learn best performance opportunity small rule data behind.,In Review,2025-07-31
T000091,E0027,P000322,Benefits deduction question,Really beyond natural contain note hair medical major dream hospital accept.,Open,2025-11-30
T000092,E0106,P001262,Tax withholding question,Serious option poor deal anything year several call great hit action amount charge number animal bill interview teach.,Resolved,2025-07-31
T000093,E0202,P002415,Missing overtime pay,Air analysis form century then example into discussion success win.,Resolved,2025-08-15
T000094,E0106,P001270,Missing bonus,Message left course up Democrat can despite church building project glass go name answer argue probably away.,Resolved,2025-11-30
T000095,E0147,P001761,Tax withholding question,House hundred smile unit there city why possible.,In Review,2025-11-15
T000096,E0035,P000417,Tax withholding question,Woman safe green put but report young suffer move heart win drop success real mention water.,Open,2025-11-15
T000097,E0220,P002632,Tax withholding question,Leave wear night plant address to lawyer visit huge each six lead notice bar.,Resolved,2025-08-31
T000098,E0191,P002292,Incorrect hours worked,Company east their college value money itself situation party thank six.,Open,2025-12-31
T000099,E0015,P000175,Missing bonus,Admit method reason public matter site watch own establish probably exactly important meeting public provide again plant pick boy.,In Review,2025-10-15
T000100,E0144,P001726,Incorrect hours worked,Action imagine audience hot development arm radio their sound radio detail support if hot hair behavior.,Resolved,2025-11-30
T000101,E0182,P002176,Incorrect hours worked,Send fly place before time change first building these child hair successful old carry event.,Resolved,2025-08-31
T000102,E0004,P000046,Missing bonus,Forget respond which him short other hand much.,In Review,2025-11-30
T000103,E0058,P000686,Paycheck lower than expected,Unit city day effect important sometimes certainly happen focus rule these reason next reflect in behind item.,Resolved,2025-07-31
T000104,E0134,P001608,Missing bonus,Sound conference view view weight set education cause indicate month.,Resolved,2025-12-31
T000105,E0103,P001232,Direct deposit issue,Field actually figure public candidate message foot skill also risk person.,Open,2025-10-31
T000106,E0072,P000863,Paycheck lower than expected,People nature summer use kitchen them step indicate company method leave seven water.,In Review,2025-12-15
T000107,E0164,P001966,Tax withholding question,Although understand understand opportunity able mouth account doctor will agency responsibility build director.,Resolved,2025-11-30
T000108,E0028,P000332,Benefits deduction question,Letter answer avoid simply recognize indeed relate not good become either voice here heart election.,Resolved,2025-10-31
T000109,E0008,P000094,Paycheck lower than expected,Poor main enter professional similar individual activity affect perform cell common share mouth speak likely.,Resolved,2025-11-30
